,lat,lon,capacity
0,37.65625,-100.25,4.84
1,45.4375,-70.5,3.59
2,45.96875,-104.3125,4.12
3,34.96875,-104.0625,5.5
4,45.34375,-104.4375,4.24
5,47.46875,-102.9375,3.8
6,34.875,-104.0,5.5
7,45.46875,-104.375,4.23
8,45.0,-70.3125,3.59
9,34.96875,-103.25,5.38
10,34.96875,-103.6875,5.5
11,34.875,-103.625,5.5
12,45.875,-103.6875,4.12
13,34.875,-98.625,4.93
14,47.53125,-102.875,3.8
15,41.90625,-97.9375,4.21
16,47.0625,-105.6875,4.0
17,45.5625,-104.25,4.12
18,45.40625,-103.6875,4.23
19,47.3125,-105.3125,4.06
20,41.90625,-97.75,4.21
21,45.4375,-103.125,4.19
22,34.0625,-101.0625,5.2
23,35.0625,-104.0,5.5
24,42.34375,-101.4375,4.42
25,35.65625,-100.5625,5.11
26,46.46875,-103.0,4.08
27,35.46875,-101.25,5.17
28,43.28125,-100.125,4.23
29,44.59375,-96.625,3.91
30,44.09375,-95.125,3.9
31,42.375,-102.1875,4.53
32,44.46875,-99.1875,4.11
33,45.46875,-70.125,3.59
34,41.78125,-100.875,4.42
35,47.15625,-105.4375,4.06
36,41.90625,-97.6875,4.21
37,36.65625,-103.6875,5.19
38,42.9375,-102.3125,4.41
39,42.59375,-97.5,4.12
40,45.21875,-96.9375,3.91
41,35.4375,-101.375,5.17
42,41.9375,-101.25,4.42
43,45.40625,-103.875,4.23
44,35.6875,-100.875,5.11
45,45.0,-103.4375,4.23
46,44.4375,-96.5,3.98
47,44.3125,-96.375,3.98
48,42.6875,-97.5625,4.12
49,46.9375,-106.9375,4.04
50,47.46875,-105.0625,3.93
51,41.53125,-103.75,4.54
52,42.5625,-101.3125,4.35
53,42.65625,-98.4375,4.18
54,46.125,-103.625,4.12
55,45.59375,-69.4375,3.58
56,42.53125,-101.875,4.53
57,41.78125,-101.125,4.42
58,43.28125,-99.6875,4.23
59,35.25,-102.0,5.25
60,42.65625,-102.0,4.41
61,42.71875,-100.125,4.23
62,41.875,-97.625,4.21
63,43.46875,-99.625,4.18
64,46.40625,-103.25,4.08
65,35.8125,-100.6875,5.11
66,35.375,-100.9375,5.17
67,43.40625,-100.1875,4.23
68,42.0625,-101.6875,4.53
69,44.0625,-96.0625,3.93
70,37.5625,-99.8125,4.84
71,46.625,-100.75,3.83
72,42.46875,-97.375,4.14
73,42.0625,-102.0,4.53
74,37.6875,-100.125,4.84
75,42.0,-98.25,4.21
76,43.53125,-99.4375,4.11
77,44.21875,-96.25,3.93
78,41.90625,-101.4375,4.42
79,42.3125,-101.0625,4.42
80,41.78125,-103.8125,4.54
81,43.875,-97.1875,3.98
82,35.5625,-101.0,5.11
83,45.0625,-96.8125,3.91
84,35.28125,-102.3125,5.25
85,35.8125,-100.375,4.97
86,44.90625,-96.875,3.91
87,44.8125,-96.75,3.91
88,43.40625,-100.4375,4.23
89,42.9375,-101.0625,4.35
90,42.84375,-99.5625,4.23
91,42.03125,-101.125,4.42
92,43.1875,-98.0625,4.12
93,34.96875,-103.9375,5.5
94,45.0,-102.5,4.18
95,37.53125,-99.4375,4.73
96,34.875,-102.0,5.25
97,42.28125,-74.5,3.85
98,44.4375,-99.375,4.11
99,42.625,-102.875,4.41
100,42.65625,-98.6875,4.18
101,41.25,-97.5,4.31
102,42.375,-98.0,4.21
103,41.25,-97.3125,4.26
104,44.34375,-99.5625,4.18
105,37.65625,-100.375,4.84
106,41.875,-98.4375,4.29
107,44.84375,-96.5,3.91
108,42.8125,-104.0,4.48
109,46.875,-102.25,3.9
110,45.53125,-99.8125,3.94
111,43.78125,-97.125,3.98
112,41.84375,-101.25,4.42
113,47.90625,-101.0,3.75
114,43.96875,-99.625,4.18
115,46.875,-103.8125,4.02
116,42.71875,-98.8125,4.18
117,44.65625,-96.375,3.91
118,48.875,-106.3125,3.75
119,47.1875,-101.25,3.83
120,45.84375,-103.375,4.12
121,36.125,-100.375,4.97
122,41.65625,-98.5625,4.29
123,42.4375,-99.6875,4.36
124,42.84375,-99.5,4.23
125,42.8125,-100.3125,4.23
126,42.4375,-98.375,4.21
127,45.5625,-103.0625,4.08
128,43.3125,-99.375,4.18
129,44.53125,-96.375,3.91
130,43.71875,-95.6875,3.93
131,37.5625,-99.875,4.84
132,45.125,-104.125,4.23
133,45.875,-103.0625,4.08
134,44.75,-96.5625,3.91
135,36.40625,-100.4375,4.97
136,36.1875,-100.875,5.11
137,36.25,-101.0,5.11
138,44.8125,-70.75,3.48
139,46.6875,-102.625,3.9
140,41.8125,-98.25,4.21
141,48.75,-102.5,3.63
142,43.3125,-99.5625,4.23
143,43.21875,-97.3125,4.04
144,42.0625,-98.1875,4.21
145,44.96875,-103.625,4.23
146,47.53125,-102.9375,3.8
147,41.0625,-97.3125,4.26
148,38.65625,-98.4375,4.63
149,37.53125,-99.5625,4.84
150,34.90625,-98.5625,4.93
151,36.40625,-100.6875,5.11
152,36.78125,-103.75,5.19
153,42.46875,-101.1875,4.42
154,45.375,-103.0625,4.19
155,41.25,-97.1875,4.26
156,44.15625,-97.4375,4.04
157,46.25,-103.625,4.12
158,42.53125,-100.8125,4.42
159,44.9375,-96.625,3.91
160,41.78125,-101.625,4.53
161,43.34375,-99.1875,4.18
162,44.625,-102.625,4.18
163,44.09375,-98.625,4.11
164,44.21875,-98.75,4.11
165,44.53125,-96.125,3.89
166,44.625,-97.6875,3.96
167,44.25,-95.6875,3.93
168,44.28125,-96.25,3.93
169,34.875,-103.5,5.5
170,36.09375,-100.125,4.97
171,37.5625,-100.0,4.84
172,39.40625,-97.5625,4.54
173,42.90625,-100.9375,4.35
174,43.3125,-101.25,4.35
175,47.1875,-103.125,3.94
176,42.65625,-100.8125,4.35
177,42.4375,-101.3125,4.42
178,42.375,-99.4375,4.29
179,41.9375,-98.5625,4.29
180,44.09375,-95.8125,3.93
181,36.40625,-100.9375,5.11
182,44.1875,-95.5625,3.9
183,45.59375,-102.75,4.08
184,46.71875,-101.625,3.9
185,43.25,-99.9375,4.23
186,43.15625,-96.75,4.04
187,46.5625,-101.0,4.01
188,42.15625,-97.9375,4.21
189,44.125,-97.3125,3.98
190,41.8125,-101.875,4.53
191,44.65625,-97.4375,3.96
192,42.53125,-100.9375,4.42
193,43.53125,-99.125,4.11
194,44.5,-97.4375,3.96
195,42.65625,-99.875,4.23
196,45.96875,-98.9375,3.9
197,44.40625,-98.8125,4.11
198,44.40625,-99.0625,4.11
199,36.53125,-103.625,5.46
200,37.625,-99.875,4.84
201,35.0,-103.3125,5.38
202,37.875,-100.1875,4.84
203,46.1875,-102.9375,4.08
204,45.1875,-103.9375,4.23
205,41.125,-103.9375,4.69
206,46.625,-102.375,3.9
207,44.125,-95.4375,3.9
208,44.9375,-99.1875,4.0
209,44.21875,-96.0,3.93
210,38.125,-96.375,4.52
211,38.125,-96.4375,4.52
212,34.9375,-101.8125,5.25
213,38.6875,-98.625,4.63
214,44.3125,-95.8125,3.93
215,46.25,-103.375,4.12
216,47.84375,-100.75,3.75
217,45.40625,-103.5,4.23
218,44.71875,-102.6875,4.19
219,43.40625,-100.5,4.23
220,42.5,-100.0625,4.36
221,42.71875,-100.5625,4.35
222,42.65625,-97.4375,4.12
223,45.03125,-96.75,3.91
224,41.1875,-97.625,4.31
225,41.15625,-97.25,4.26
226,42.71875,-100.0625,4.23
227,42.3125,-98.625,4.29
228,43.8125,-95.75,3.93
229,44.34375,-99.625,4.18
230,37.84375,-100.0625,4.84
